Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2022/23 Salary,Salary
Precious Achiuwa,C,23,TOR,44,11,22.0,3.6,7.5,0.476,0.5,1.9,0.256,3.1,5.7,0.548,0.508,1.7,2.5,0.691,1.9,4.3,6.1,1.0,0.6,0.6,1.2,2.0,9.4,2840160,2840160
Steven Adams,C,29,MEM,42,42,27.0,3.7,6.3,0.597,0.0,0.0,0.0,3.7,6.2,0.599,0.597,1.1,3.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,17926829,17926829
Bam Adebayo,C,25,MIA,64,64,35.1,8.3,15.4,0.541,0.0,0.2,0.083,8.3,15.2,0.547,0.542,4.4,5.4,0.807,2.4,7.0,9.4,3.3,1.2,0.8,2.6,2.9,21.0,30351780,30351780
Ochai Agbaji,SG,22,UTA,45,8,17.3,2.0,4.6,0.44,1.1,3.0,0.366,1.0,1.7,0.573,0.557,0.5,0.7,0.742,0.6,1.1,1.8,0.7,0.2,0.2,0.4,1.5,5.7,3918360,3918360
Santiago Aldama,PF,22,MEM,63,18,22.1,3.3,7.0,0.475,1.3,3.7,0.359,2.0,3.4,0.601,0.569,1.3,1.8,0.719,1.0,3.6,4.6,1.2,0.6,0.7,0.7,1.9,9.3,2094120,2094120
Nickeil Alexander-Walker,SG,24,TOT,45,3,15.1,2.4,5.1,0.47,1.1,2.7,0.408,1.3,2.4,0.536,0.576,0.7,1.1,0.667,0.3,1.5,1.8,2.0,0.6,0.4,1.1,1.6,6.6,5009633,5009633
Grayson Allen,SG,27,MIL,63,61,27.9,3.5,7.9,0.445,2.1,5.1,0.404,1.4,2.8,0.52,0.576,1.7,1.8,0.904,0.9,2.4,3.3,2.4,0.8,0.2,1.0,1.7,10.8,8500000,8500000
Jarrett Allen,C,24,CLE,62,62,33.0,6.0,9.2,0.649,0.0,0.1,0.111,6.0,9.1,0.657,0.649,2.4,3.3,0.728,3.1,6.7,9.8,1.7,0.8,1.2,1.4,2.2,14.4,20000000,20000000
Jose Alvarado,PG,24,NOP,61,10,21.5,3.3,8.0,0.411,1.4,4.0,0.336,1.9,4.0,0.488,0.496,1.1,1.3,0.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0,1563518,1563518
Kyle Anderson,PF,29,MIN,55,39,26.8,3.3,6.5,0.513,0.6,1.4,0.436,2.7,5.1,0.534,0.56,1.6,2.1,0.752,0.8,4.2,5.0,4.3,1.1,0.9,1.4,2.1,8.9,8780488,8780488
Giannis Antetokounmpo,PF,28,MIL,52,52,32.5,11.0,20.5,0.539,0.8,2.9,0.28,10.2,17.6,0.581,0.559,8.3,12.7,0.654,2.3,9.7,11.9,5.5,0.7,0.8,3.9,3.3,31.2,42492492,42492492
Thanasis Antetokounmpo,SF,30,MIL,28,0,4.0,0.2,0.8,0.273,0.0,0.2,0.0,0.2,0.6,0.353,0.273,0.1,0.3,0.5,0.3,0.7,1.0,0.1,0.1,0.1,0.3,0.5,0.6,1878720,1878720
Cole Anthony,PG,22,ORL,48,3,25.3,4.3,9.7,0.444,1.1,3.2,0.348,3.2,6.4,0.492,0.502,2.5,2.9,0.878,0.6,3.9,4.5,4.0,0.6,0.6,1.5,2.6,12.3,3613680,3613680
OG Anunoby,SF,25,TOR,54,54,35.9,6.1,13.3,0.462,1.9,5.3,0.368,4.2,8.0,0.524,0.536,2.4,2.9,0.831,1.5,3.7,5.2,1.9,2.0,0.7,2.2,3.0,16.6,17357143,17357143
Ryan Arcidiacono,PG,28,TOT,15,1,5.7,0.4,1.1,0.353,0.3,0.7,0.5,0.1,0.5,0.143,0.5,0.0,0.0,,0.0,0.7,0.7,0.6,0.2,0.0,0.3,0.7,1.1,2298385,2298385
Deni Avdija,SF,22,WAS,66,34,25.9,3.1,7.3,0.426,0.8,2.9,0.289,2.2,4.3,0.519,0.484,1.6,2.1,0.766,1.0,5.2,6.2,2.5,0.8,0.4,1.4,2.8,8.7,4916160,4916160
Deandre Ayton,C,24,PHO,58,58,30.4,7.9,13.4,0.592,0.1,0.4,0.304,7.8,13.0,0.601,0.597,2.3,3.0,0.744,2.7,7.5,10.2,1.9,0.6,0.8,1.8,2.8,18.2,30913750,30913750
Udoka Azubuike,C,23,UTA,26,0,5.9,0.9,1.1,0.828,0.0,0.0,,0.9,1.1,0.828,0.828,0.1,0.3,0.25,0.6,1.5,2.2,0.2,0.2,0.3,0.4,0.5,1.9,2174880,2174880
Marvin Bagley,C,23,DET,33,18,22.6,4.6,8.7,0.531,0.3,1.4,0.222,4.3,7.4,0.588,0.549,1.7,2.4,0.718,2.5,4.2,6.7,0.7,0.4,0.8,1.1,2.0,11.3,12500000,12500000
Patrick Baldwin,SF,20,GSW,23,0,8.8,1.7,4.3,0.404,1.3,3.3,0.395,0.4,1.0,0.435,0.556,0.2,0.3,0.667,0.0,1.4,1.5,0.3,0.3,0.2,0.4,0.6,5.0,2226000,2226000
LaMelo Ball,PG,21,CHO,36,36,35.2,8.2,20.0,0.411,4.0,10.6,0.376,4.2,9.4,0.45,0.51,2.8,3.4,0.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3,8623920,8623920
Mo Bamba,C,24,TOT,47,7,16.2,2.5,5.1,0.487,1.0,2.6,0.39,1.4,2.4,0.591,0.588,0.9,1.3,0.661,1.2,3.5,4.7,1.0,0.3,0.9,0.6,2.2,6.8,10300000,10300000
Paolo Banchero,PF,20,ORL,61,61,33.8,6.6,15.7,0.423,1.1,4.0,0.283,5.5,11.6,0.471,0.459,5.6,7.5,0.747,1.2,5.5,6.6,3.7,0.9,0.5,2.7,2.3,20.0,11055120,11055120
